"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 26 10:43:18 COT 2022","Mon Sep 26 10:43:21 COT 2022","2906","","Payment: The user creates a new payment method","","Payment: The user creates a new payment method","Given The user is logged into BetLeague","Given The user is logged into BetLeague",""
"passed","Sat Sep 24 16:30:52 COT 2022","Sat Sep 24 16:30:52 COT 2022","36","","Elements on the list of products and their functions: View Detail of product","","Elements on the list of products and their functions: View Detail of product","And the info must match from the list","And the info must match from the list","verifiying if Producto TA is Producto TA"
"passed","Tue Sep 27 11:59:04 COT 2022","Tue Sep 27 11:59:07 COT 2022","2895","","Create a product and see on the list: The user create a new product","","Create a product and see on the list: The user create a new product","Given The user is logged into BetLeague","Given The user is logged into BetLeague",""
"passed","Sun Sep 25 11:20:33 COT 2022","Sun Sep 25 11:20:34 COT 2022","1103","","Login flow into BetLeague: The user register then the admin delete his user","","Login flow into BetLeague: The user register then the admin delete his user","When The new user register on the page","When The new user register on the page",""
"passed","Sat Sep 24 16:30:41 COT 2022","Sat Sep 24 16:30:44 COT 2022","2937","","Elements on the list of products and their functions: View Detail of product","","Elements on the list of products and their functions: View Detail of product","Given The user is logged into BetLeague","Given The user is logged into BetLeague",""
"passed","Sun Sep 25 13:35:58 COT 2022","Sun Sep 25 13:35:59 COT 2022","617","","Admin actions and permissions: Create a empty categroy","","Admin actions and permissions: Create a empty categroy","Then the page shows an error","Then the page shows an error","verifiying if Debe ingresar el nombre de la categoria is Debe ingresar el nombre de la categoria"
"passed","Sat Sep 24 13:21:21 COT 2022","Sat Sep 24 13:21:21 COT 2022","18","","Elements on User Profile: The elements are displayed","","Elements on User Profile: The elements are displayed","And a modal with a button and profile photo loader","And a modal with a button and profile photo loader",""
"passed","Sat Sep 24 15:19:16 COT 2022","Sat Sep 24 15:19:16 COT 2022","51","","Elements on the list of products and their functions: Apply Filters","","Elements on the list of products and their functions: Apply Filters","Then the page will show the result","Then the page will show the result","verifiying if BMW is BMW"
"passed","Sun Sep 25 12:36:36 COT 2022","Sun Sep 25 12:36:36 COT 2022","15","","Admin actions and permissions: The admin create a new category","","Admin actions and permissions: The admin create a new category","When the admin clicks on new category botton","When the admin clicks on new category botton",""
"passed","Tue Sep 27 10:13:21 COT 2022","Tue Sep 27 10:13:21 COT 2022","0","","Login flow into BetLeague: The user can logged if have a existing account","","Login flow into BetLeague: The user can logged if have a existing account","","",""
"passed","Sat Sep 24 15:19:16 COT 2022","Sat Sep 24 15:19:19 COT 2022","3046","","Elements on the list of products and their functions: Apply Filters","","Elements on the list of products and their functions: Apply Filters","Then the page will show the list of all the products","Then the page will show the list of all the products","verifiying if 5 is greater than 1"
"passed","Sat Sep 24 16:30:44 COT 2022","Sat Sep 24 16:30:52 COT 2022","7673","","Elements on the list of products and their functions: View Detail of product","","Elements on the list of products and their functions: View Detail of product","When the user clicks on view more detail","When the user clicks on view more detail",""
